label,feature1,feature2,feature3
2,0.6982963755517612,0.17590426942327275,0.3386307825985574
2,0.9521954098154773,0.07069617875044265,0.33230155404161943
1,0.8899632871420051,0.15762308631249733,0.9788182055927462
1,0.9935673628631737,0.16155801350883592,0.20321519554198297
1,0.8187035102039255,0.28363708226213924,0.6670260600647483
1,0.5451221661797199,0.536706025564066,0.574784266941896
1,0.4512540549640983,0.7732387148932105,0.05197528656954964
1,0.8905571879288573,0.8803435812772044,0.5428381025901639
0,0.9732647911186689,0.6373914469574052,0.207949114938631
0,0.5934113295689697,0.8526022402545531,0.09109017971488453
2,0.36607449772047085,0.597955371524427,0.8698557120089315
2,0.3230946929662495,0.6938466603020629,0.027369779496864033
2,0.871423255048698,0.5371766731466012,0.9686245221962455
0,0.21563406298839582,0.889230083465696,0.32749988957479015
0,0.7349451885621964,0.052266426256819654,0.4102779578675838
0,0.3656190873671856,0.7831837007929678,0.13554421504611225
2,0.8016025985027602,0.14517326910169237,0.127066310744954
1,0.7827355919753762,0.05869842598794717,0.41398397976413726
2,0.701355379236693,0.058994580855538326,0.6174437360391936
2,0.6227765866031991,0.05197122986802538,0.13226690286735276
1,0.49368264574711207,0.5159860884415858,0.9744812178582788
0,0.8405377001184887,0.40499622009931346,0.18063510244452918
2,0.7120969869436473,0.9996495937701937,0.760349911196316
0,0.44390898141585244,0.10857001055264426,0.4821618152044177
2,0.031034861133332647,0.3273843024947811,0.7680788681442614
0,0.36323976019359805,0.9978299320581024,0.3028984428297671
1,0.7307217914103388,0.4011143917380494,0.015175090775453537
1,0.4755665730836416,0.8833357664731261,0.4633686864669543
0,0.3444169701220027,0.5691385805274338,0.7033370789190169
1,0.6408804349960188,0.9532408896444166,0.06604089290965509
0,0.12620532161439946,0.8853872441552366,0.6690114176568045
2,0.17146526096424974,0.7792855915819448,0.3454790558421603
2,0.7370864936885216,0.03180806303617245,0.5917214726030947
2,0.1270293935724024,0.9626185297834763,0.2290534578071075
1,0.3696498749466268,0.5196354442314025,0.26756836247775295
0,0.6043340048360264,0.20779101145399448,0.9328269856396992
0,0.10310443885564724,0.8750978067386507,0.8261450587838567
2,0.8023741823372101,0.2241514790025958,0.1454431928335156
1,0.9455532358421244,0.1386593265369096,0.6470036098933348
1,0.9790388199339376,0.725239287506202,0.8839511653331675
0,0.881232246338927,0.9737889095074972,0.7413605341557461
1,0.6276819214639752,0.5354818765953476,0.5157107993445175
2,0.9304865334026656,0.4447979980004906,0.13525184356482722
1,0.7247899531024389,0.022111178018510036,0.03988365260534921
1,0.7166778860553562,0.6059883403154945,0.8343218320889686
1,0.04107856658418385,0.9647965239566801,0.11705786929477491
0,0.4394817751674749,0.9675914809669351,0.523102313610054
0,0.28206978311608777,0.9300288092605399,0.8730584682565505
0,0.3349959688919273,0.18467983199603233,0.0387078369663274
1,0.0835270070444003,0.6229621583614409,0.6923907867937034
1,0.760849147057386,0.4129626697631321,0.4762684781326564
0,0.5092724471639539,0.3630612022054839,0.16926448845838715
2,0.6610474176084522,0.036602941344841544,0.06317189225198372
1,0.6303144424842815,0.8681487095718778,0.032224091951774336
2,0.3709268274575275,0.6728282126281492,0.2424308563800346
2,0.4467401517308447,0.08747161406172366,0.11270682467406534
1,0.4151082201975932,0.8869659392363946,0.4049900173998413
0,0.4803885080134066,0.7824645507653967,0.04207297124273657
1,0.9833235733884662,0.3173044112629603,0.9265654494018641
2,0.37342370735353736,0.8183137873870069,0.9352629086037977
0,0.012406981727713595,0.5075550682423482,0.8104268974896139
0,0.9219033377990289,0.021193301768068107,0.1883430784330069
2,0.873276070344208,0.4335217582287817,0.5873182233905117
2,0.35174682158758874,0.4463130559537941,0.9035105556616785
1,0.6301331125022921,0.23881998940722982,0.9673422647363511
1,0.35782695934169106,0.8302457318410754,0.0675392149333145
2,0.21281993764846496,0.7447641766130533,0.31758607171718534
0,0.22331922312265218,0.5864790009601656,0.6968629710758295
1,0.4195637917308277,0.49286785256548205,0.6402653755299328
2,0.07291022107806677,0.487355879841193,0.6326233136490094
2,0.6508390701366923,0.2667406959229204,0.8287506490793103
2,0.7556861489509374,0.6050111014397169,0.7131104267315977
1,0.9321012263118122,0.753543720990287,0.33548022716525805
0,0.3764041595819979,0.27058422795323367,0.1676946768408637
0,0.29692728344953345,0.522303283132476,0.7646898163213187
0,0.37194431249415016,0.09832853021356114,0.35931506248110234
0,0.8276993588036342,0.7136366749694787,0.08800478164562353
2,0.9011395352502948,0.8840405940159821,0.729567599641644
1,0.4273037848574962,0.5670544212280033,0.8810499283806688
2,0.0021894308231216186,0.994481578897232,0.041263881190583884
0,0.04196524456467021,0.17873977026255816,0.17486776146597938
0,0.14178738316276462,0.012200086294428036,0.4200974148999833
1,0.5982371851051667,0.4569984805570808,0.34060657930268423
1,0.10646052201186085,0.9317519418549508,0.04476891580512821
2,0.2971589861743179,0.8460246882178747,0.11289131390858753
1,0.05839198991213279,0.4733298760702601,0.43804148786497743
1,0.6213248602513616,0.9025550260477352,0.07107320402361217
2,0.0226804761247833,0.22599552633736475,0.8162451076572044
2,0.8550546861316567,0.30415373865658635,0.8661156482926846
2,0.3063372028662724,0.7149938815135232,0.13111984191888182
0,0.7587834447539041,0.724091483437877,0.19321944967382543
2,0.5632751101398661,0.018676439423681468,0.43749275177383007
0,0.03816418217864814,0.285813103358881,0.9709253246769842
0,0.5655167240598379,0.5804863352453888,0.7738609642776244
2,0.6588734886482086,0.9307866320901698,0.13177647170942253
2,0.18326634939267783,0.3389969016787632,0.9271798636813225
1,0.7974113080911386,0.12008312306966606,0.8277965797457089
0,0.6123674294689488,0.5162727085257521,0.39273166536032633
0,0.5556533844497369,0.699207063311334,0.14057064612501624
